Department,Expected_Revenue,Actual_Revenue,Revenue_Leakage,Revenue_at_Risk,Department_Profitability
0,540496237,394862074.3827034,145634162.61729658,144820688.73110476,73.0554715004803
1,283017945,207730569.6451752,75287375.3548248,67297725.51268677,73.39837396005939
2,263212321,194066939.11783388,69145381.88216612,56036303.62867914,73.73018800204034
3,329761902,244409347.43696746,85352554.56303252,85234840.6519794,74.11691464496934
4,404550111,298005912.7203263,106544198.27967368,104068254.3647745,73.66353502751265
